"TPS_ID","Scan_ID","subacc_roi_mask","rInsula_roi_mask","lInsula_roi_mask","functional_combined_roi_mask","dmpfc_roi_mask","mmpfc_roi_mask","vmpfc_roi_mask","mpfc_roi_mask","precuneus_roi_mask","lTpj_roi_mask","rTpj_roi_mask","rSts_roi_mask","saxe_combined_mask","ns_ment_mask","ns_ment_clust1_mask","ns_ment_clust2_mask","ns_ment_clust3_mask","ns_ment_clust4_mask","ns_ment_clust5_mask","ns_ment_clust6_mask","ns_ment_clust7_mask","ns_ment_clust8_mask","adult_lIFG_mask","adult_vACC_mask","adult_posteriorCingulate_mask","adult_precuneus_mask","adult_precentralGyrus_mask","ado_lateralOFC_mask","ado_vs_mask","rotge_dacc1_mask","rotge_dacc2_mask","dACC_anatomical"
"TPS1F0014","110726ss",0.18478313,-0.24925154,0.013400006,0.2800174,-1.228875,-1.5706512,-0.41399127,-1.0730448,-1.2466857,-0.57000035,-0.78808874,-0.30879733,-0.7893969,-0.7047749,-0.25939617,-0.788807,-1.4549648,-1.3127322,0.40028137,-0.59252286,-0.87474114,0.15381096,-0.43107384,0.10208228,-0.21758908,-1.4011853,0.37507,0.23457558,0.05782914,-1.257171,-1.7906643,-1.4776
"TPS1F0015","110725bb",1.7432576,2.3511584,2.7326481,2.134479,2.4244907,2.2894893,2.759423,2.4916594,2.2137253,0.51941836,1.1556975,1.3481963,1.545418,1.7820867,0.80462193,1.2758054,2.6270266,2.335539,2.8322778,1.8417306,0.033978924,2.266399,2.8019373,4.257222,2.1352818,2.8140712,1.4461836,2.3270159,1.9875681,2.098463,2.4878154,1.9311
"TPS1F0016","110730zb",0.39892367,0.7530666,0.55515546,0.5192545,0.32866332,-0.30506572,-0.9397793,-0.57812566,-0.79348016,-0.18713945,-0.1109912,-0.034020945,-0.33976778,-0.24254626,-0.010438795,-0.14901721,0.14551012,-0.82319796,-0.8801582,-0.16695377,-0.27102605,0.03255703,0.6937842,-0.5419324,-0.47447386,-0.3150184,-0.45580122,0.11164561,0.4314187,-0.4080378,-0.33157665,-0.4857
"TPS1F0017","110730dw",-0.059137613,0.20951158,0.2296066,0.018233614,-0.41106033,-0.48757616,-0.4958977,-0.49115622,-0.76037335,-0.25169575,-0.037513584,-0.136664,-0.33877093,-0.27082586,-0.23077942,-0.0034398292,-0.43600434,-0.4698648,-0.53877074,0.09935272,-0.28588048,-0.09624734,-0.09871645,-0.33276814,-1.4219534,-1.3363677,-0.70276237,-0.033376597,-0.06278803,-0.49290693,-0.41560337,-0.7583
"TPS1F0018","110730gp",-0.2697729,-0.8011071,-0.9736823,-0.4447228,-0.034927737,-0.17447063,-1.3190826,-0.6668938,-1.1909457,-0.4648914,-0.46612895,-0.09455254,-0.5772585,-0.5161075,-0.2948062,-0.45708227,0.02316676,-1.1773947,-1.5177348,-0.024200026,-0.47076526,-0.32722262,-0.83674276,-0.68041795,-1.3303245,-1.3305326,-0.616717,-0.9920988,-0.80729645,-0.621261,-0.5034514,-0.6613
"TPS1F0020","110814gb",-0.15877578,-0.11300286,0.46887478,-0.010309197,0.5031945,1.0283793,0.033684075,0.60045177,0.22786045,0.108671054,0.3271611,0.059174165,0.25016913,0.3179724,0.25473523,0.43022752,0.7872144,0.44367006,-0.2791751,-0.039216135,0.08429413,0.3049855,0.25030032,0.17738205,-0.15913843,0.73474795,-0.12673382,0.335652,-0.26848242,-0.22673851,0.3639251,0.2284
"TPS1F0021","110814ld",1.0025367,0.3695188,0.5208298,0.93532753,0.671852,1.2274177,0.92998743,1.0994604,-0.1798979,0.52589715,0.11065479,0.18516496,0.30974513,0.24807042,-0.022902567,0.09081565,0.96870494,-0.26698896,0.836873,0.43204862,0.46306297,-0.3441978,0.09950658,0.80648685,0.55222785,-0.0066429386,0.5778188,0.15508927,0.14311059,-0.19772898,-0.035883863,0.1679
"TPS1F0022","110731te",0.12323996,0.35744506,0.21455339,0.18866701,0.3106636,0.5565274,0.18788461,0.3979337,0.38352033,0.09510883,0.21070568,0.23268996,0.26472512,0.32325956,0.22730795,0.33417648,0.48635894,0.43651307,0.13560018,0.22086385,0.19564223,0.49825913,-0.0036456345,0.44507608,0.66482127,0.56305957,0.13513063,0.059647806,0.22736633,0.040548738,0.0046559265,0.0833
"TPS1F0023","110805jl",0.22422487,-1.6597348,-0.009182373,-0.069110245,-1.2148737,-1.4223137,-2.1148524,-1.7202507,-2.0261378,-0.99151254,-1.0315701,-1.2912291,-1.4227167,-1.2196808,-1.0487882,-1.0070177,-1.0457263,-1.9671572,-2.3171117,-2.2893755,-0.8634761,-0.7423255,-1.1356825,-1.9427387,-0.9209813,-2.0750256,-1.9718568,-1.1701286,-0.53049,-2.4340584,-2.4545584,0.3959
"TPS1F0024","110820cr",0.3453945,0.2681926,0.4889887,0.30098853,0.6496445,0.66693175,0.42125762,0.5612403,0.33503452,0.11056571,0.08108736,0.21888398,0.2567684,0.32326463,0.090776995,0.076819435,0.7686893,0.3223993,0.21506172,0.19231091,0.2182039,0.3753015,0.58739257,0.15602523,0.61548525,0.30064008,0.10354921,0.5458254,0.059385773,-0.14386375,0.14201857,0.0646
