TPS_ID,YesNo_3,YesNo_4,Avg_4,Avg_5,Avg_6,Avg_7,ConnFri_2,ConnFam_2,HabF_1,HabF_2,HabF_3,HabF_4,HabF_5,HabF_6,HabF_7,HabF_8,HabF_9,HabF_10,Femo_1,Femo_2,Femo_3,Femo_4,Femo_5,Femo_6,Femo_7,Femo_8,Femo_19,Femo_20,Femo_9,Femo_10,Femo_11,Femo_12,Femo_13,Femo_14,Femo_15,Femo_16,Femo_17,Femo_18,OpenF
SubjID,Do you use the following things?-Facebook on your computer,Do you use the following things?-Facebook on your phone,"In this section, indicate how often you perform each behavior on average. Please answer according to...-I post on Facebook from my computer","In this section, indicate how often you perform each behavior on average. Please answer according to...-I check Facebook on my computer","In this section, indicate how often you perform each behavior on average. Please answer according to...-I post on Facebook from my phone","In this section, indicate how often you perform each behavior on average. Please answer according to...-I check Facebook on my phone",Please answer how often you feel connected to your friends when using different types of media.-I feel connected to my friends when I use Facebook.,Please answer how often you feel connected to your family when using different types of media.-I feel connected to my family members when I use Facebook.,Please answer how much you agree or disagree with the following statements concerning your Facebook...-Using Facebook is something I do automatically.,Please answer how much you agree or disagree with the following statements concerning your Facebook...-Using Facebook is something I do without meaning to do it.,Please answer how much you agree or disagree with the following statements concerning your Facebook...-Using Facebook is something I do without thinking.,Please answer how much you agree or disagree with the following statements concerning your Facebook...-Using Facebook is something I start doing before I realize I'm doing it.,Please answer how much you agree or disagree with the following statements concerning your Facebook...-Using Facebook is something that would require effort not to do it.,Please answer how much you agree or disagree with the following statements concerning your Facebook...-Using Facebook is something I do without having to consciously remember.,Please answer how much you agree or disagree with the following statements concerning your Facebook...-Using Facebook is something that belongs to my daily routine.,Please answer how much you agree or disagree with the following statements concerning your Facebook...-Using Facebook is something I would find hard not to do.,Please answer how much you agree or disagree with the following statements concerning your Facebook...-Using Facebook is something I have no need to think about doing.,"Please answer how much you agree or disagree with the following statements concerning your Facebook...-Using Facebook is something that's typically ""me"".",I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel amused,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel surprised,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel awed,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel loved,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel proud,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel excited,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel grateful,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel happy,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel inspired,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel confident,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel angry,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel nervous,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel awkward,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel stressed,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel jealous,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel lonely,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel scared,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel upset,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel ashamed,I get an urge to post on Facebook from my computer or phone the moment when...-something makes me feel guilty,In two or three sentences please describe how you use Facebook. You could think about the following:...
TPS1F0015,1,1,4,5,4,5,4,1,6,2,6,3,3,2,5,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"I use Facebook and then it's possible to see what's going on with everyone. However, Twitter is a much better social network..."
TPS1F0023,1,1,4,3,5,5,4,3,4,4,5,4,2,6,7,4,5,4,3,2,3,4,3,3,3,4,3,2,3,2,2,4,2,2,2,4,2,1,I use facebook as mainly a way to get stuff off my mind. I also like to see what my friends are up to
TPS1F0027,1,2,1,6,,,3,3,3,2,4,4,6,4,6,6,1,4,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,I use Facebook to chat my friends.  I never really post anything  but I view things that others post.  I use it too much
TPS1F0020,1,1,2,5,2,4,5,4,7,5,5,3,4,5,6,4,5,4,4,3,2,4,4,4,3,3,3,3,1,2,3,1,2,2,2,1,2,2,I communicate with friends and family most on Facebook. I use Facebook mostly in the morning and in the evening when I have some extra free time. I like Facebook to share media with friends and family.
TPS1F0030,1,2,5,6,,,3,1,7,6,7,7,7,7,7,4,5,6,4,1,3,1,2,3,1,2,3,1,1,1,1,2,1,1,1,2,1,1,"I mainly talk to a few (see: less than 5) of my friends and to comment on posts from less closer friends. I only use facebook at home. It's pretty entertaining, and an interesting look at other people. I do enjoy it although I do use it a bit too much, using it well past the point of boredom."
TPS1F0021,1,2,5,6,,,4,2,1,3,3,3,5,3,4,1,5,1,3,3,3,3,3,4,2,3,3,3,1,1,4,3,2,1,1,1,1,1,"I communicate with everybody on Facebook, not to chat but mostly to show them things, like videos that I couldn't do otherwise, like if they live somewhere else. I use Facebook through out the day and at home. I enjoy using Facebook and no, I don't feel I use it too much"
TPS1F0022,1,1,2,4,2,2,4,2,5,1,5,1,2,2,5,5,5,6,3,3,3,2,2,4,3,3,3,2,3,1,1,1,1,1,1,2,1,1,I enjoy using Facebook because everything happening with your friends is right there.  I do go on it for just a couple minutes at a time many times a day just because it has become part of what I do when I get on internet.  Since Twitter has picked up I use that more than Facebook though.
TPS1F0024,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS1P0009,1,2,2,5,,,5,4,7,7,5,5,5,5,7,5,5,4,1,1,1,1,4,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,i use it fro seeing what other friends might be doing and what they are doing with their lives. i also use it to stay in toucch withpeople who i am further away from
