"NTS_Belongingness","NTS_SelfEsteem","NTS_Control","NTS_MeaningfulExistence","NTS_Mean","TPS_ID"
2.6,4,2.8,4.2,3.4,"TPS1F0014"
3.2,3.4,3,3.6,3.3,"TPS1F0015"
3.6,5.4,4,4,4.25,"TPS1F0016"
1.6,3.8,2.2,4.2,2.95,"TPS1F0017"
1,3.6,1.6,2.2,2.1,"TPS1F0018"
5,6,4.8,5.8,5.4,"TPS1F0020"
4,4.6,3.8,4.4,4.2,"TPS1F0021"
3.2,5.6,2.8,4.6,4.05,"TPS1F0022"
4.8,6.2,5.2,6,5.55,"TPS1F0023"
4,6,3.2,3,4.05,"TPS1F0024"
3.2,4.6,2.6,3,3.35,"TPS1F0025"
2.8,4,2.8,2.8,3.1,"TPS1F0026"
3,4.4,4,3.2,3.65,"TPS1F0027"
4.4,5.4,4.4,4.8,4.75,"TPS1F0028"
5.2,6.2,4,5.8,5.3,"TPS1F0029"
3.6,5.8,4.25,4.4,4.5125,"TPS1F0030"
3,3.4,3,3.4,3.2,"TPS1F0031"
4.4,5,4,4.8,4.55,"TPS1F0032"
3.6,5.6,4.6,6.4,5.05,"TPS1F0033"
3.8,5,2.4,4.8,4,"TPS1F0034"
3.6,5.8,3.2,5.6,4.55,"TPS1F0035"
2.4,3,2,3.8,2.8,"TPS1F0038"
4.4,5.4,3.2,4.6,4.4,"TPS1F0039"
3.6,5.25,4.2,5.2,4.5625,"TPS1F0040"
2,3,2,2.6,2.4,"TPS1F0041"
6.6,5.6,5.8,7,6.25,"TPS1F0042"
3.2,3.4,3.6,5.6,3.95,"TPS1F0044"
3.2,5.6,4.4,3.8,4.25,"TPS1F0045"
1.4,4.6,1.6,1.8,2.35,"TPS1F0046"
3.6,5.6,3.4,4,4.15,"TPS1F0047"
4.4,6.2,4.4,4.8,4.95,"TPS1F0048"
NA,NA,NA,NA,NA,"TPS1P0001"
2.8,4.4,3.6,3.8,3.65,"TPS1P0005"
3.6,4.8,3,3,3.6,"TPS1P0006"
1.2,3.2,2.8,3.4,2.65,"TPS1P0007"
2.2,4.2,2,2.2,2.65,"TPS1P0008"
1.4,4.6,1.6,1.4,2.25,"TPS1P0009"
2.4,3.2,3.8,5,3.6,"TPS1P0011"
3.4,4.4,3,2.6,3.35,"TPS1P0012"
3.8,6.4,5,3,4.55,"TPS1P0013"
3,2.2,3.4,2.2,2.7,"TPS2001"
1.8,3,1.8,3.2,2.45,"TPS2002"
3.6,5.6,3.4,5.6,4.55,"TPS2003"
5,4,3.6,5.4,4.5,"TPS2004"
2.2,4.4,1.8,2.8,2.8,"TPS2005"
3.2,3.8,2.8,3.8,3.4,"TPS2006"
