TPS_ID,id,study,study_t,age,scanner,scanner_t
TPS1F0014,1,1,tps1,16.547945,2,scanner1
TPS1F0015,2,1,tps1,16.747945,2,scanner1
TPS1F0016,3,1,tps1,16.70137,2,scanner1
TPS1F0017,4,1,tps1,17.660274,2,scanner1
TPS1F0018,5,1,tps1,17.063014,2,scanner1
TPS1F0020,6,1,tps1,16.583562,2,scanner1
TPS1F0021,7,1,tps1,16.668493,2,scanner1
TPS1F0022,8,1,tps1,16.435616,2,scanner1
TPS1F0023,9,1,tps1,16.594521,2,scanner1
TPS1F0024,10,1,tps1,17.153425,2,scanner1
TPS1F0025,11,1,tps1,16.608219,2,scanner1
TPS1F0026,12,1,tps1,16.317808,2,scanner1
TPS1F0027,13,1,tps1,16.50137,2,scanner1
TPS1F0028,14,1,tps1,16.430137,2,scanner1
TPS1F0029,15,1,tps1,16.690411,2,scanner1
TPS1F0030,16,1,tps1,16.747945,2,scanner1
TPS1F0031,17,1,tps1,16.923288,2,scanner1
TPS1F0032,18,1,tps1,16.690411,2,scanner1
TPS1F0033,19,1,tps1,16.556164,2,scanner1
TPS1F0034,20,1,tps1,17.561644,2,scanner1
TPS1F0035,21,1,tps1,16.49589,2,scanner1
TPS1F0038,22,1,tps1,16.471233,2,scanner1
TPS1F0039,23,1,tps1,16.49589,2,scanner1
TPS1F0040,24,1,tps1,17.578082,2,scanner1
TPS1F0041,25,1,tps1,17.69863,2,scanner1
TPS1F0042,26,1,tps1,17.416438,2,scanner1
TPS1F0044,27,1,tps1,17.789041,2,scanner1
TPS1F0045,28,1,tps1,16.545205,2,scanner1
TPS1F0046,29,1,tps1,17.290411,2,scanner1
TPS1F0047,30,1,tps1,18.150685,2,scanner1
TPS1F0048,31,1,tps1,16.523288,2,scanner1
TPS1P0001,32,1,tps1,NA,2,scanner1
TPS1P0005,33,1,tps1,16.780822,2,scanner1
TPS1P0006,34,1,tps1,16.690411,2,scanner1
TPS1P0007,35,1,tps1,17.205479,2,scanner1
TPS1P0008,36,1,tps1,16.287671,2,scanner1
TPS1P0009,37,1,tps1,16.342466,2,scanner1
TPS1P0011,38,1,tps1,16.734247,2,scanner1
TPS1P0012,39,1,tps1,17.010959,2,scanner1
TPS1P0013,40,1,tps1,17.260274,2,scanner1
TPS2001,41,2,tps2,NA,2,scanner1
TPS2002,42,2,tps2,17.01917808,2,scanner1
TPS2003,43,2,tps2,16.74520548,2,scanner1
TPS2004,44,2,tps2,16.71506849,2,scanner1
TPS2005,45,2,tps2,16.89315068,2,scanner1
TPS2009,46,2,tps2,17.19452055,2,scanner1
TPS2011,47,2,tps2,16.88219178,2,scanner1
TPS2012,48,2,tps2,16.68219178,2,scanner1
TPS2013,49,2,tps2,NA,2,scanner1
TPS2014,50,2,tps2,NA,2,scanner1
TPS2015,51,2,tps2,NA,2,scanner1
TPS2016,52,2,tps2,16.82191781,2,scanner1
TPS2017,53,2,tps2,NA,2,scanner1
TPS2019,54,2,tps2,17.11232877,2,scanner1
TPS2020,55,2,tps2,16.59178082,2,scanner1
TPS2021,56,2,tps2,16.6739726,2,scanner1
TPS2022,57,2,tps2,17.04383562,2,scanner1
TPS2023,58,2,tps2,16.9260274,2,scanner1
TPS2024,59,2,tps2,16.69863014,2,scanner1
TPS2027,60,2,tps2,16.75616438,2,scanner1
TPS2028,61,2,tps2,16.97260274,2,scanner1
TPS2029,62,2,tps2,NA,2,scanner1
TPS2030,63,2,tps2,16.78082192,2,scanner1
TPS2031,64,2,tps2,NA,1,scanner2
TPS2033,65,2,tps2,17.61917808,1,scanner2
TPS2035,66,2,tps2,17.74520548,1,scanner2
TPS2036,67,2,tps2,17.25205479,1,scanner2
TPS2037,68,2,tps2,NA,2,scanner1
TPS2038,69,2,tps2,17.63287671,1,scanner2
TPS2039,70,2,tps2,16.73424658,1,scanner2
TPS2041,71,2,tps2,16.68767123,1,scanner2
TPS2044,72,2,tps2,16.60547945,1,scanner2
TPS2045,73,2,tps2,17.02191781,1,scanner2
TPS2048,74,2,tps2,16.64657534,1,scanner2
TPS2049,75,2,tps2,16.67945205,1,scanner2
TPS2050,76,2,tps2,16.66027397,1,scanner2
TPS2051,77,2,tps2,16.67671233,1,scanner2
TPS2052,78,2,tps2,16.68493151,1,scanner2
TPS2053,79,2,tps2,16.78356164,1,scanner2
TPS2054,80,2,tps2,16.67671233,1,scanner2
TPS2055,81,2,tps2,17.83561644,1,scanner2
TPS2056,82,2,tps2,16.7890411,1,scanner2
TPS2058,83,2,tps2,16.75890411,1,scanner2
TPS2059,84,2,tps2,17.6739726,1,scanner2
TPS2060,85,2,tps2,16.69041096,1,scanner2
TPS2061,86,2,tps2,16.77534247,1,scanner2
TPS2062,87,2,tps2,16.66027397,1,scanner2
TPS2063,88,2,tps2,16.73150685,1,scanner2
TPS2064,89,2,tps2,16.67123288,1,scanner2
TPS2065,90,2,tps2,16.6,1,scanner2
TPS2066,91,2,tps2,NA,1,scanner2
TPS2067,92,2,tps2,16.88219178,1,scanner2
TPS2069,93,2,tps2,16.64931507,1,scanner2
TPS2070,94,2,tps2,NA,1,scanner2
TPS2071,95,2,tps2,NA,1,scanner2
TPS2072,96,2,tps2,16.65753425,1,scanner2
TPS2073,97,2,tps2,16.76712329,1,scanner2
TPS2074,98,2,tps2,16.65205479,1,scanner2
TPS2075,99,2,tps2,17.03013699,1,scanner2
TPS2076,100,2,tps2,16.82191781,1,scanner2
TPS2077,101,2,tps2,NA,1,scanner2
TPS2078,102,2,tps2,17.03287671,1,scanner2
TPS2079,103,2,tps2,17.00821918,1,scanner2
TPS2080,104,2,tps2,16.68767123,1,scanner2
